City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,ust-nera,64.5667,143.2,-46.71,98,96,2.71,RU,1701786571
121,saipan,15.1355,145.701,27.39,78,20,6.17,MP,1701786572
122,puerto deseado,-47.7503,-65.8938,16.34,53,97,13.99,AR,1701786572
123,puerto madero,14.7208,-92.4215,26.11,100,0,0.0,MX,1701786572
124,whitehorse,60.7161,-135.0538,-2.57,86,75,7.2,CA,1701786572
125,chibougamau,49.9168,-74.3659,-23.21,84,20,2.57,CA,1701786572
126,monrovia,6.3005,-10.7969,32.87,68,16,3.2,LR,1701786572
127,fort bragg,35.139,-79.006,11.01,71,0,2.06,US,1701786572
128,kingston,17.997,-76.7936,29.58,73,20,1.34,JM,1701786376
129,vila velha,-20.3297,-40.2925,32.97,70,20,7.2,BR,1701786573
130,beau vallon,-20.4189,57.6953,26.23,73,75,3.6,MU,1701786573
131,ribeira grande,38.5167,-28.7,19.87,88,40,10.29,PT,1701786573
132,nova vicosa,-17.8919,-39.3719,30.13,59,9,5.63,BR,1701786573
133,kovalam,8.3667,76.9967,30.05,74,40,1.54,IN,1701786573
134,west island,-12.1568,96.8225,26.99,74,14,4.63,CC,1701786574
135,kupiskis,55.8333,24.9667,-8.47,98,88,1.49,LT,1701786574
136,arar,30.9753,41.0381,25.01,18,0,5.66,SA,1701786574
137,chachersk,52.9164,30.9179,-3.05,99,65,1.81,BY,1701786574
138,iqaluit,63.7506,-68.5145,-11.15,79,75,3.6,CA,1701786574
139,kheralu,23.8833,72.6167,21.77,50,0,2.69,IN,1701786574
140,auterive,43.351,1.478,10.76,65,50,6.6,FR,1701786574
141,tura,25.5198,90.2201,19.0,67,99,1.02,IN,1701786575
142,jayapura,-2.5333,140.7,25.66,90,94,0.85,ID,1701786575
143,hammerfest,70.6634,23.6821,-5.75,68,40,7.72,NO,1701786575
144,sao vicente,-23.9631,-46.3919,31.1,57,100,1.54,BR,1701786575
145,carnarvon,-24.8667,113.6333,24.23,75,27,11.75,AU,1701786575
146,rudnya,54.947,31.0934,-11.75,99,93,1.1,RU,1701786576
147,pacific grove,36.6177,-121.9166,15.28,66,0,3.09,US,1701786576
148,thompson,55.7435,-97.8558,-6.91,93,100,4.63,CA,1701786576
149,comodoro rivadavia,-45.8667,-67.5,26.92,22,0,7.72,AR,1701786576
150,souillac,-20.5167,57.5167,26.21,73,75,3.6,MU,1701786576
151,klaksvik,62.2266,-6.589,-0.49,66,26,3.6,FO,1701786576
152,lorengau,-2.0226,147.2712,27.16,81,34,2.4,PG,1701786576
153,joaima,-16.6542,-41.0306,34.41,40,18,2.59,BR,1701786576
154,tiksi,71.6872,128.8694,-18.93,97,100,4.09,RU,1701786487
155,kerikeri,-35.2268,173.9474,14.39,93,54,1.77,NZ,1701786577
156,gadzhiyevo,69.2551,33.3362,-9.21,84,100,4.82,RU,1701786577
157,port alfred,-33.5906,26.891,18.43,83,100,1.34,ZA,1701786577
158,la ronge,55.1001,-105.2842,-14.86,85,75,1.54,CA,1701786577
159,togur,58.3631,82.8265,-19.92,94,100,4.02,RU,1701786577
160,simanggang,1.2472,111.4528,25.99,94,98,0.0,MY,1701786577
161,flin flon,54.7682,-101.865,-9.09,92,100,2.57,CA,1701786578
162,arish,31.1316,33.7984,21.31,73,99,3.35,EG,1701786578
163,jamestown,42.097,-79.2353,1.97,97,100,1.54,US,1701786394
164,qamdo,31.1667,97.2333,-7.32,72,100,1.76,CN,1701786578
165,thinadhoo,0.5333,72.9333,28.07,77,18,4.41,MV,1701786578
166,lebu,-37.6167,-73.65,15.01,75,85,3.86,CL,1701786385
167,galesong,-5.3166,119.3661,26.01,79,100,2.78,ID,1701786578
168,richards bay,-28.783,32.0377,23.02,70,100,4.85,ZA,1701786579
169,basco,20.4487,121.9702,25.83,84,78,6.23,PH,1701786579
170,broome,42.2506,-75.833,2.16,81,100,2.06,US,1701786579
171,kongolo,-5.3833,27.0,22.0,95,100,1.05,CD,1701786579
172,cha-am,12.8,99.9667,26.44,82,52,1.51,TH,1701786579
173,siemiatycze,52.4272,22.8623,-5.61,91,49,4.44,PL,1701786579
174,vorgashor,67.5833,63.95,-30.17,97,28,1.54,RU,1701786419
175,astrakhan,46.3497,48.0408,-0.05,74,75,5.0,RU,1701786580
176,anton lizardo,19.05,-95.9833,23.45,89,100,8.01,MX,1701786580
177,howrah,22.5892,88.3103,24.0,69,75,1.54,IN,1701786580
178,stanley,54.868,-1.6985,4.88,85,75,3.09,GB,1701786319
179,papatowai,-46.5619,169.4708,8.98,87,100,0.83,NZ,1701786580
180,ust-tsilma,65.441,52.1498,-26.88,100,95,0.89,RU,1701786580
181,chonchi,-42.6128,-73.8092,15.56,68,44,2.44,CL,1701786581
182,tralee,52.2704,-9.7026,5.14,81,0,1.54,IE,1701786581
183,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,79,75,5.36,RU,1701786482
184,hun,29.1268,15.9477,20.17,27,58,1.86,LY,1701786581
185,nueve de julio,-35.4444,-60.8831,19.42,65,98,3.13,AR,1701786582
186,miringa,10.7312,12.1463,32.78,11,38,4.17,NG,1701786582
187,mejit,10.2753,170.8646,27.63,80,47,9.99,MH,1701786582
188,zavitinsk,50.1167,129.45,-6.45,94,100,8.47,RU,1701786582
189,callao,-12.0667,-77.15,21.16,78,75,3.09,PE,1701786582
190,urucara,-2.5364,-57.76,30.36,61,80,2.33,BR,1701786582
191,newman,37.3138,-121.0208,6.27,90,10,0.77,US,1701786434
192,saint-philippe,-21.3585,55.7679,26.77,76,49,3.49,RE,1701786582
193,anderson,34.5334,-82.6499,9.31,81,0,0.0,US,1701786426
194,wailua homesteads,22.0669,-159.378,23.44,87,75,7.2,US,1701786583
195,morganton,35.7454,-81.6848,8.37,84,0,0.89,US,1701786583
196,mao,39.8885,4.2658,13.31,71,40,3.6,ES,1701786583
197,bodden town,19.2833,-81.25,29.43,77,20,3.6,KY,1701786583
198,happy valley-goose bay,53.3168,-60.3315,-11.83,72,75,6.69,CA,1701786469
199,raton,36.9034,-104.4391,-2.81,79,0,1.54,US,1701786583
200,gulf shores,30.246,-87.7008,10.56,76,0,1.54,US,1701786583
201,zhezqazghan,47.7833,67.7667,3.32,93,20,5.0,KZ,1701786584
202,sur,22.5667,59.5289,25.4,47,0,6.02,OM,1701786584
203,eastbourne,50.7687,0.2845,6.77,92,100,1.34,GB,1701786485
204,jinxiang,27.4327,120.6062,13.84,76,0,1.77,CN,1701786584
205,daru,-9.0763,143.2092,27.0,75,44,4.98,PG,1701786584
206,ryotsu-minato,38.0833,138.4333,10.77,56,100,1.1,JP,1701786584
207,palangkaraya,-2.2,113.8333,24.63,93,98,1.23,ID,1701786585
208,avarua,-21.2078,-159.775,24.03,88,40,5.14,CK,1701786585
209,choma,-16.8065,26.9531,34.65,16,14,2.29,ZM,1701786585
210,amasra,41.7463,32.3863,12.03,88,3,3.24,TR,1701786585
211,chokwe,-24.5333,32.9833,33.09,36,0,7.63,MZ,1701786585
212,fortuna,40.5982,-124.1573,15.37,93,75,3.58,US,1701786585
213,port lincoln,-34.7333,135.8667,16.81,80,41,5.15,AU,1701786370
214,kalmunai,7.4167,81.8167,27.49,82,99,0.74,LK,1701786586
215,sao gabriel da cachoeira,-0.1303,-67.0892,29.89,74,20,0.51,BR,1701786586
216,ruidoso,33.3317,-105.673,5.87,44,0,2.57,US,1701786586
217,larkfield,51.2946,0.4262,7.45,70,100,3.13,GB,1701786586
218,wenchang,30.904,118.4887,12.92,51,100,1.71,CN,1701786586
219,georgetown,5.4112,100.3354,25.96,97,40,2.57,MY,1701786355
220,dakoro,14.5106,6.765,33.48,8,62,4.91,NE,1701786586
221,gornopravdinsk,60.05,69.9,-18.09,91,100,4.0,RU,1701786587
222,kudahuvadhoo,2.6708,72.8944,28.09,80,43,6.67,MV,1701786587
223,novi pazar,43.1367,20.5122,5.84,73,100,1.63,RS,1701786587
224,svetlyy,54.675,20.1347,-1.69,90,8,4.07,RU,1701786587
225,walvis bay,-22.9575,14.5053,18.94,65,13,6.21,NA,1701786587
226,holualoa,19.6228,-155.9522,20.99,75,0,1.54,US,1701786587
227,yarmouth,41.7057,-70.2286,5.05,73,100,9.39,US,1701786588
228,genhe,50.7833,121.5167,-10.19,93,99,4.15,CN,1701786588
229,shimoda,34.6667,138.95,9.5,69,100,4.11,JP,1701786588
230,santo antonio,-6.3106,-35.4789,33.32,41,88,6.34,BR,1701786588
231,howard springs,-12.497,131.047,25.95,94,100,0.79,AU,1701786588
232,guiuan,11.0333,125.7247,27.73,82,84,5.07,PH,1701786588
233,homer,59.6425,-151.5483,1.93,70,100,1.54,US,1701786589
234,rongelap,11.1635,166.8941,27.68,77,62,8.93,MH,1701786589
235,charef,34.621,2.795,12.47,63,100,3.72,DZ,1701786589
236,codrington,-38.2667,141.9667,12.12,90,35,2.81,AU,1701786589
237,dunedin,-45.8742,170.5036,12.11,82,100,2.68,NZ,1701786589
238,mitchell,43.7094,-98.0298,-4.59,93,0,2.57,US,1701786589
239,alofi,-19.0595,-169.9187,23.94,88,40,1.54,NU,1701786589
240,severnoye,56.3491,78.3619,-11.68,95,100,5.36,RU,1701786590
241,kenai,60.5544,-151.2583,-0.48,84,100,1.54,US,1701786590
242,bontang,0.1333,117.5,27.05,84,19,1.83,ID,1701786590
243,priob'ye,62.5206,65.5964,-20.54,92,100,3.64,RU,1701786590
244,klyuchi,52.2667,79.1667,2.24,95,100,6.81,RU,1701786366
245,beichengqu,40.4394,113.1536,-2.35,42,34,7.54,CN,1701786590
246,okhotsk,59.3833,143.3,-29.28,79,100,7.22,RU,1701786590
247,yuzhno-kurilsk,44.0306,145.8556,4.1,91,24,1.18,RU,1701786591
248,igarka,67.4667,86.5833,-41.0,98,55,1.26,RU,1701786591
249,meadow lake,34.8014,-106.5436,2.9,75,0,1.64,US,1701786591
250,minas de marcona,-15.2119,-75.1103,18.31,64,100,5.1,PE,1701786591
251,santa terezinha,-29.9002,-50.0904,19.91,87,100,6.72,BR,1701786591
252,uaua,-9.8414,-39.4817,33.5,36,69,3.64,BR,1701786592
253,salinas,36.6777,-121.6555,15.51,66,0,3.09,US,1701786554
254,boise,43.6135,-116.2035,7.66,88,79,2.87,US,1701786444
255,afaahiti,-17.75,-149.2833,24.93,84,100,7.0,PF,1701786592
256,metlili chaamba,32.2667,3.6333,19.52,19,0,3.09,DZ,1701786592
257,bosansko grahovo,44.1794,16.3639,3.37,97,100,3.54,BA,1701786592
258,peace river,56.2501,-117.286,2.03,91,40,4.12,CA,1701786592
259,pachino,36.7186,15.0907,15.17,74,76,9.07,IT,1701786592
260,nagqu,31.5,92.0,-10.94,57,100,2.85,CN,1701786593
261,jinghong,21.991,100.7341,18.92,98,100,1.19,CN,1701786593
262,gouyave,12.1646,-61.7296,29.43,74,20,6.17,GD,1701786593
263,ingeniero jacobacci,-41.3427,-69.5448,21.86,29,9,6.73,AR,1701786593
264,martapura,-3.4167,114.85,27.05,89,20,2.06,ID,1701786593
265,saliste,45.7963,23.8868,1.56,69,20,0.0,RO,1701786593
266,tan-tan,28.438,-11.1032,20.97,68,100,6.17,MA,1701786593
267,khandyga,62.6667,135.6,-51.37,100,42,0.83,RU,1701786594
268,markala,13.7021,-6.0659,34.54,10,0,2.33,ML,1701786594
269,constantia,44.1833,28.65,6.5,73,100,4.76,RO,1701786502
270,hays,30.0502,-98.0336,12.67,52,0,0.92,US,1701786594
271,tuzlukcu,38.4778,31.6264,12.46,61,2,2.01,TR,1701786594
272,letovice,49.5471,16.5736,-0.62,79,100,2.71,CZ,1701786594
273,irymple,-34.25,142.1667,23.38,39,49,7.63,AU,1701786594
274,nikolayevsk-on-amure,53.1406,140.73,-10.86,92,100,1.86,RU,1701786595
275,vernon,50.2581,-119.2691,4.23,92,100,1.54,CA,1701786595
276,as sulayyil,20.4607,45.5779,24.14,16,0,3.1,SA,1701786595
277,kirakira,-10.4544,161.9205,25.64,93,100,5.53,SB,1701786595
278,puerto ayora,-0.7393,-90.3518,25.98,94,93,3.13,EC,1701786500
279,kapuskasing,49.4169,-82.4331,-7.95,86,100,1.03,CA,1701786595
280,udachny,66.4167,112.4,-31.93,97,100,2.23,RU,1701786595
281,tual,-5.6667,132.75,29.13,70,94,2.17,ID,1701786595
282,santiago de cao,-7.9589,-79.2392,20.07,83,75,4.63,PE,1701786596
283,grand falls-windsor,48.9332,-55.6649,-0.28,88,100,2.3,CA,1701786326
284,ancud,-41.8697,-73.8203,14.33,73,1,2.21,CL,1701786596
285,naze,28.3667,129.4833,16.51,66,95,6.0,JP,1701786596
286,noumea,-22.2763,166.4572,21.99,83,65,3.78,NC,1701786596
287,christchurch,-43.5333,172.6333,14.39,84,100,4.63,NZ,1701786436
288,itoman,26.1247,127.6694,21.01,73,40,2.57,JP,1701786596
289,viedma,-40.8135,-62.9967,24.48,26,10,8.61,AR,1701786596
290,aykhal,66.0,111.5,-31.24,97,100,3.01,RU,1701786597
291,fale old settlement,-9.3852,-171.2468,28.37,78,98,5.45,TK,1701786597
292,ambodifotatra,-16.9833,49.85,26.36,74,0,4.97,MG,1701786597
293,ketchikan,55.3422,-131.6461,9.26,87,100,9.26,US,1701786597
294,tadine,-21.55,167.8833,22.88,78,100,4.35,NC,1701786597
295,crane,31.3974,-102.3501,10.25,39,3,1.62,US,1701786597
296,ola,59.5833,151.2833,-27.51,90,62,3.89,RU,1701786597
297,rumbek,6.802,29.6912,33.67,35,70,2.49,SS,1701786597
298,chichiriviche,10.9333,-68.2772,27.06,82,21,6.39,VE,1701786598
299,qarazhal,48.0078,70.7903,4.2,65,100,6.88,KZ,1701786598
300,bratsk,56.1325,101.6142,-27.73,92,93,1.47,RU,1701786598
301,westende,51.1588,2.7683,6.97,90,75,3.09,BE,1701786598
302,akureyri,65.6835,-18.0878,-14.04,85,0,2.06,IS,1701786598
303,coahuayana de hidalgo,18.7,-103.6583,24.58,57,100,2.71,MX,1701786598
304,muroto-misakicho,33.2833,134.15,13.47,84,100,3.94,JP,1701786598
305,pocatello,42.8713,-112.4455,4.26,89,0,6.26,US,1701786598
306,bambari,5.768,20.6757,33.69,30,40,2.07,CF,1701786599
307,amga,60.8953,131.9608,-45.24,99,91,1.3,RU,1701786599
308,port antonio,18.18,-76.4612,30.55,74,11,3.61,JM,1701786599
309,pisco,-13.7,-76.2167,21.68,78,20,3.09,PE,1701786599
310,ekuvukeni,-28.4675,30.1551,18.92,91,87,4.68,ZA,1701786599
311,labrador city,52.9463,-66.9114,-21.05,84,75,2.06,CA,1701786599
312,upington,-28.4478,21.2561,36.21,6,0,3.09,ZA,1701786599
313,essaouira,31.5125,-9.77,19.72,82,75,5.14,MA,1701786599
314,iyidere,41.0119,40.3619,13.98,92,100,2.1,TR,1701786600
315,iyo,33.7514,132.7014,11.15,95,88,1.75,JP,1701786600
316,patiali,27.7167,79.0167,20.13,43,0,2.81,IN,1701786601
317,jining,35.405,116.5814,9.69,38,85,3.12,CN,1701786601
318,lubao,14.9167,120.55,28.04,85,45,1.25,PH,1701786603
319,sola,-13.8833,167.55,27.19,76,99,4.05,VU,1701786604
320,acarau,-2.8856,-40.12,32.12,57,20,8.46,BR,1701786605
321,ploneour-lanvern,47.9,-4.2833,11.18,62,75,7.2,FR,1701786606
322,badr hunayn,23.7829,38.7905,27.57,59,0,3.29,SA,1701786606
323,hithadhoo,-0.6,73.0833,28.23,73,24,2.41,MV,1701786404
